subscriber_id,first_name,last_name,email,signup_date,signup_source,country,gender,age_group,status
SUB0001,First1,Last1,user1@email.com,2024-01-23,Checkout,United States,Male,35-44,Active
SUB0002,First2,Last2,user2@email.com,2023-11-06,Checkout,United Kingdom,Male,55+,Active
SUB0003,First3,Last3,user3@email.com,2024-03-07,Social Media,United Kingdom,Female,45-54,Active
SUB0004,First4,Last4,user4@email.com,2024-06-14,Checkout,United States,Female,18-24,Active
SUB0005,First5,Last5,user5@email.com,2024-03-27,Website Popup,United States,Male,25-34,Active
SUB0006,First6,Last6,user6@email.com,2023-07-04,Checkout,Australia,Male,25-34,Active
SUB0007,First7,Last7,user7@email.com,2023-10-10,Blog,United States,Male,55+,Active
SUB0008,First8,Last8,user8@email.com,2023-09-21,Checkout,Australia,Male,55+,Active
SUB0009,First9,Last9,user9@email.com,2024-06-03,Website Popup,United States,Female,18-24,Active
SUB0010,First10,Last10,user10@email.com,2024-02-03,Website Popup,United Kingdom,Female,25-34,Active
SUB0011,First11,Last11,user11@email.com,2024-03-24,Referral,Australia,Male,25-34,Active
SUB0012,First12,Last12,user12@email.com,2024-04-05,Social Media,United States,Female,55+,Active
SUB0013,First13,Last13,user13@email.com,2023-09-06,Social Media,Canada,Male,35-44,Active
SUB0014,First14,Last14,user14@email.com,2024-01-26,Website Popup,United States,Male,25-34,Active
SUB0015,First15,Last15,user15@email.com,2023-10-15,Website Popup,United States,Male,45-54,Unsubscribed
SUB0016,First16,Last16,user16@email.com,2023-08-30,Checkout,United Kingdom,Female,18-24,Unsubscribed
SUB0017,First17,Last17,user17@email.com,2023-07-25,Checkout,United States,Female,25-34,Active
SUB0018,First18,Last18,user18@email.com,2024-01-06,Website Popup,United States,Female,35-44,Active
SUB0019,First19,Last19,user19@email.com,2024-01-21,Website Popup,Canada,Male,35-44,Active
SUB0020,First20,Last20,user20@email.com,2023-12-07,Social Media,United States,Male,25-34,Active
SUB0021,First21,Last21,user21@email.com,2024-02-10,Website Popup,United States,Female,18-24,Active
SUB0022,First22,Last22,user22@email.com,2023-11-28,Referral,Canada,Male,55+,Unsubscribed
SUB0023,First23,Last23,user23@email.com,2023-11-09,Website Popup,Australia,Male,25-34,Active
SUB0024,First24,Last24,user24@email.com,2024-06-12,Referral,United Kingdom,Female,18-24,Active
SUB0025,First25,Last25,user25@email.com,2023-12-20,Website Popup,United Kingdom,Female,55+,Unsubscribed
SUB0026,First26,Last26,user26@email.com,2023-10-07,Social Media,Canada,Female,35-44,Unsubscribed
SUB0027,First27,Last27,user27@email.com,2024-06-26,Referral,United States,Female,18-24,Active
SUB0028,First28,Last28,user28@email.com,2024-03-13,Website Popup,United States,Male,25-34,Active
SUB0029,First29,Last29,user29@email.com,2024-02-13,Website Popup,Canada,Female,25-34,Unsubscribed
SUB0030,First30,Last30,user30@email.com,2024-03-28,Social Media,Canada,Female,25-34,Active
SUB0031,First31,Last31,user31@email.com,2023-07-11,Social Media,United States,Male,55+,Bounced
SUB0032,First32,Last32,user32@email.com,2024-01-30,Blog,United Kingdom,Female,18-24,Active
